年月日,最高気温(℃),品質情報,土地
2019/7/15,25.0,8,tokyo
2019/7/16,22.1,8,tokyo
2019/7/17,28.7,8,tokyo
2019/7/18,29.7,8,tokyo
2019/7/19,31.4,8,tokyo
2019/7/20,29.5,8,tokyo
2019/7/21,28.2,8,tokyo
2019/7/22,24.0,8,tokyo
2019/7/23,29.3,8,tokyo
2019/7/24,31.6,8,tokyo
2019/7/25,32.4,8,tokyo
2019/7/26,33.1,8,tokyo
2019/7/27,31.4,8,tokyo
2019/7/28,32.3,8,tokyo
2019/7/29,33.7,8,tokyo
2019/7/30,33.6,8,tokyo
2019/7/31,34.6,8,tokyo
2019/8/1,35.0,8,tokyo
2019/8/2,35.1,8,tokyo
2019/8/3,33.7,8,tokyo
2019/8/4,34.3,8,tokyo
2019/8/5,34.9,8,tokyo
2019/8/6,35.0,8,tokyo
2019/8/7,35.6,8,tokyo
2019/8/8,35.5,8,tokyo
2019/8/9,35.6,8,tokyo
2019/8/10,34.4,8,tokyo
2019/8/11,35.6,8,tokyo
2019/8/12,33.2,8,tokyo
2019/8/13,35.5,8,tokyo
2019/8/14,32.4,8,tokyo
2019/8/15,32.6,8,tokyo
2019/8/16,31.6,8,tokyo
2019/8/17,35.5,8,tokyo
2019/8/18,35.2,8,tokyo
2019/8/19,32.2,8,tokyo
2019/8/20,31.1,8,tokyo
2019/8/21,31.4,8,tokyo
2019/8/22,29.5,8,tokyo
2019/8/23,28.5,8,tokyo
2019/8/24,31.4,8,tokyo
2019/8/25,31.1,8,tokyo
2019/8/26,28.5,8,tokyo
2019/8/27,29.4,8,tokyo
2019/8/28,28.1,8,tokyo
2019/8/29,34.6,8,tokyo
2019/8/30,28.0,8,tokyo
2019/8/31,31.7,8,tokyo
2019/9/1,32.1,8,tokyo
2019/9/2,31.8,8,tokyo
2019/9/3,28.5,8,tokyo
2019/9/4,26.5,8,tokyo
2019/9/5,29.6,8,tokyo
2019/9/6,32.9,8,tokyo
2019/9/7,33.5,8,tokyo
2019/9/8,33.3,8,tokyo
2019/9/9,36.2,8,tokyo
2019/9/10,35.6,8,tokyo
2019/9/11,32.3,8,tokyo
2019/9/12,28.7,8,tokyo
2019/9/13,23.6,8,tokyo
2019/9/14,25.1,8,tokyo
2019/9/15,31.1,8,tokyo
2019/9/16,25.3,8,tokyo
2019/9/17,31.1,8,tokyo
2019/9/18,24.8,8,tokyo
2019/9/19,27.7,8,tokyo
2019/9/20,27.3,8,tokyo
2019/9/21,24.1,8,tokyo
2019/9/22,28.5,8,tokyo
2019/9/23,30.7,8,tokyo
2019/9/24,30.9,8,tokyo
2019/9/25,28.9,8,tokyo
2019/9/26,27.4,8,tokyo
2019/9/27,28.1,8,tokyo
2019/9/28,29.6,8,tokyo
2019/9/29,27.7,8,tokyo
2019/9/30,29.7,8,tokyo
2019/10/1,30.1,8,tokyo
2019/10/2,29.6,8,tokyo
2019/10/3,28.3,8,tokyo
2019/10/4,29.4,8,tokyo
2019/10/5,30.3,8,tokyo
2019/10/6,23.3,8,tokyo
2019/10/7,25.0,8,tokyo
2019/10/8,27.1,8,tokyo
2019/10/9,25.1,8,tokyo
2019/10/10,25.2,8,tokyo
2019/10/11,21.7,8,tokyo
2019/10/12,25.2,8,tokyo
2019/10/13,28.5,8,tokyo
2019/10/14,20.2,8,tokyo
2019/10/15,23.0,8,tokyo
2019/10/16,18.5,8,tokyo
2019/10/17,18.4,8,tokyo
2019/10/18,19.5,8,tokyo
2019/10/19,20.2,8,tokyo
2019/10/20,23.9,8,tokyo
2019/10/21,21.3,8,tokyo
2019/10/22,17.2,8,tokyo
2019/10/23,24.8,8,tokyo
2019/10/24,21.0,8,tokyo
2019/10/25,16.3,8,tokyo
2019/10/26,24.5,8,tokyo
2019/10/27,22.5,8,tokyo
2019/10/28,21.4,8,tokyo
2019/10/29,16.3,8,tokyo
2019/10/30,22.7,8,tokyo
2019/10/31,22.0,8,tokyo
2019/11/1,23.9,8,tokyo
2019/11/2,19.9,8,tokyo
2019/11/3,18.9,8,tokyo
2019/11/4,20.2,8,tokyo
2019/11/5,19.2,8,tokyo
2019/11/6,21.2,8,tokyo
2019/11/7,22.6,8,tokyo
2019/11/8,19.2,8,tokyo
2019/11/9,17.4,8,tokyo
2019/11/10,18.6,8,tokyo
2019/11/11,17.9,8,tokyo
2019/11/12,21.8,8,tokyo
2019/11/13,16.1,8,tokyo
2019/11/14,22.3,8,tokyo
2019/11/15,17.1,8,tokyo
2019/11/16,18.9,8,tokyo
2019/11/17,19.7,8,tokyo
2019/11/18,21.4,8,tokyo
2019/11/19,20.7,8,tokyo
2019/11/20,15.9,8,tokyo
2019/11/21,15.7,8,tokyo
2019/11/22,10.8,8,tokyo
2019/11/23,13.0,8,tokyo
2019/11/24,19.1,8,tokyo
2019/11/25,21.9,8,tokyo
2019/11/26,12.5,8,tokyo
2019/11/27,10.7,8,tokyo
2019/11/28,11.8,8,tokyo
2019/11/29,9.7,8,tokyo
2019/11/30,12.0,8,tokyo
2019/12/1,11.5,8,tokyo
2019/12/2,16.4,8,tokyo
2019/12/3,17.0,5,tokyo
2019/12/4,15.3,8,tokyo
2019/12/5,14.5,8,tokyo
2019/12/6,10.4,8,tokyo
2019/12/7,7.1,8,tokyo
2019/12/8,13.2,8,tokyo
2019/12/9,9.5,8,tokyo
2019/12/10,14.3,8,tokyo
2019/12/11,15.3,8,tokyo
2019/12/12,18.9,8,tokyo
2019/12/13,9.4,8,tokyo
2019/12/14,16.0,8,tokyo
2019/12/15,12.5,8,tokyo
2019/12/16,12.3,8,tokyo
2019/12/17,9.7,8,tokyo
2019/12/18,15.4,8,tokyo
2019/12/19,11.1,8,tokyo
2019/12/20,16.1,8,tokyo
2019/12/21,9.5,8,tokyo
2019/12/22,9.0,8,tokyo
2019/12/23,12.0,8,tokyo
2019/12/24,12.6,8,tokyo
2019/12/25,8.9,8,tokyo
2019/12/26,11.5,8,tokyo
2019/12/27,13.7,8,tokyo
2019/12/28,10.9,8,tokyo
2019/12/29,10.9,8,tokyo
2019/12/30,8.8,8,tokyo
2019/12/31,16.5,8,tokyo
2020/1/1,10.2,8,tokyo
2020/1/2,11.3,8,tokyo
2020/1/3,12.0,8,tokyo
2020/1/4,12.2,8,tokyo
2020/1/5,10.2,8,tokyo
2020/1/6,12.2,8,tokyo
2020/1/7,8.2,8,tokyo
2020/1/8,7.6,8,tokyo
2020/1/9,14.9,8,tokyo
2020/1/10,12.6,8,tokyo
2020/1/11,10.5,8,tokyo
2020/1/12,10.2,8,tokyo
2020/1/13,13.7,8,tokyo
2020/1/14,13.5,8,tokyo
2020/1/15,9.4,8,tokyo
2020/1/16,10.9,8,tokyo
2020/1/17,11.1,8,tokyo
2020/1/18,7.2,8,tokyo
2020/1/19,11.1,8,tokyo
2020/1/20,14.1,8,tokyo
2020/1/21,11.8,8,tokyo
2020/1/22,7.3,8,tokyo
2020/1/23,8.7,8,tokyo
2020/1/24,13.4,8,tokyo
2020/1/25,10.2,8,tokyo
2020/1/26,7.6,8,tokyo
2020/1/27,6.5,8,tokyo
2020/1/28,7.0,8,tokyo
2020/1/29,18.6,8,tokyo
2020/1/30,17.5,8,tokyo
2020/1/31,12.1,8,tokyo
2020/2/1,13.4,8,tokyo
2020/2/2,13.8,8,tokyo
2020/2/3,15.2,8,tokyo
2020/2/4,11.4,8,tokyo
2020/2/5,15.2,8,tokyo
2020/2/6,6.9,8,tokyo
2020/2/7,6.9,8,tokyo
2020/2/8,12.7,8,tokyo
2020/2/9,8.3,8,tokyo
2020/2/10,10.1,8,tokyo
2020/2/11,11.7,8,tokyo
2020/2/12,16.0,8,tokyo
2020/2/13,18.2,8,tokyo
2020/2/14,16.0,8,tokyo
2020/2/15,16.2,8,tokyo
2020/2/16,11.8,8,tokyo
2020/2/17,16.8,8,tokyo
2020/2/18,12.5,8,tokyo
2020/2/19,13.3,8,tokyo
2020/2/20,13.1,8,tokyo
2020/2/21,14.2,8,tokyo
2020/2/22,18.2,8,tokyo
2020/2/23,16.0,8,tokyo
2020/2/24,15.4,8,tokyo
2020/2/25,14.4,8,tokyo
2020/2/26,9.4,8,tokyo
2020/2/27,11.9,8,tokyo
2020/2/28,12.4,8,tokyo
2020/2/29,14.4,8,tokyo
2020/3/1,17.9,8,tokyo
2020/3/2,11.2,8,tokyo
2020/3/3,17.8,8,tokyo
2020/3/4,10.9,8,tokyo
2020/3/5,13.7,8,tokyo
2020/3/6,15.1,8,tokyo
2020/3/7,10.4,8,tokyo
2020/3/8,8.9,8,tokyo
2020/3/9,19.6,8,tokyo
2020/3/10,18.2,8,tokyo
2020/3/11,21.4,8,tokyo
2020/3/12,16.7,8,tokyo
2020/3/13,18.7,8,tokyo
2020/3/14,12.3,8,tokyo
2020/3/15,12.0,8,tokyo
2020/3/16,14.4,8,tokyo
2020/3/17,12.7,8,tokyo
2020/3/18,18.4,8,tokyo
